HOUSEHOLD_ID,YEAR,MARITAL,SEX,AGE,WORK_STATUS
03111041,2015,1,1,66,
03111042,2015,1,1,66,
03111091,2015,1,1,56,
03111092,2015,1,1,56,
03111111,2015,1,1,50,1
03111112,2015,1,1,50,1
03111121,2015,1,1,50,1
03111122,2015,1,1,50,1
03111151,2015,1,1,67,2
03111152,2015,1,1,67,2
03111191,2015,1,1,57,1
03111231,2015,1,1,41,1
03111232,2015,1,1,41,1
03111241,2015,1,1,74,
03111242,2015,1,1,74,
03111321,2015,1,1,37,1
03111322,2015,1,1,37,1
03111351,2015,1,1,52,1
03111352,2015,1,1,52,1
03111401,2015,1,1,46,2
03111402,2015,1,1,46,2
03111471,2015,1,1,66,
03111472,2015,1,1,66,
03111481,2015,1,1,60,1
03111482,2015,1,1,60,1
03111531,2015,1,1,53,1
03111532,2015,1,1,53,1
03111541,2015,1,1,33,1
03111542,2015,1,1,33,1
03111561,2015,1,1,46,1
03111562,2015,1,1,46,1
03111591,2015,1,1,56,1
03111592,2015,1,1,56,1
03111601,2015,1,1,82,
03111602,2015,1,1,82,
03111641,2015,1,1,50,1
03111642,2015,1,1,50,1
03111691,2015,1,1,68,
03111692,2015,1,1,68,
03111771,2015,1,1,65,1
03111772,2015,1,1,65,1
03111821,2015,1,1,33,1
03111821,2015,1,1,58,
03111822,2015,1,1,33,1
03111822,2015,1,1,58,
03111861,2015,1,1,50,1
03111862,2015,1,1,50,1
03111891,2015,1,1,30,1
03111892,2015,1,1,30,1
03111941,2015,1,1,66,1
03111942,2015,1,1,66,1
03111991,2015,1,1,25,1
03111992,2015,1,1,25,1
03112041,2015,1,1,73,1
03112042,2015,1,1,73,1
03112061,2015,1,1,58,1
03112062,2015,1,1,58,1
03112081,2015,1,1,30,1
03112082,2015,1,1,30,1
03112161,2015,1,1,31,1
03112162,2015,1,1,31,1
03112171,2015,1,1,44,1
03112172,2015,1,1,44,1
03112221,2015,1,1,55,1
03112222,2015,1,1,55,1
03112231,2015,1,1,62,1
03112232,2015,1,1,62,1
03112251,2015,1,1,55,2
03112252,2015,1,1,55,2
03112261,2015,1,1,36,1
03112262,2015,1,1,36,1
03112341,2015,1,1,87,
03112342,2015,1,1,87,
03112381,2015,1,1,64,
03112382,2015,1,1,64,
03112441,2015,1,1,71,1
03112442,2015,1,1,51,1
03112471,2015,1,1,66,
03112472,2015,1,1,66,
03112522,2015,1,1,52,1
03112531,2015,1,1,61,1
03112532,2015,1,1,61,1
03112581,2015,1,1,25,1
03112582,2015,1,1,25,1
03112621,2015,1,1,28,1
03112621,2015,1,1,33,1
03112622,2015,1,1,28,1
03112622,2015,1,1,33,1
03112651,2015,1,1,74,1
03112652,2015,1,1,74,1
03112711,2015,1,1,28,1
03112711,2015,1,1,33,2
03112712,2015,1,1,28,1
03112712,2015,1,1,33,2
03112731,2015,1,1,56,1
03112732,2015,1,1,56,1
03112742,2015,1,1,39,1
03112781,2015,1,1,65,
03112782,2015,1,1,65,
03112801,2015,1,1,67,1
03112802,2015,1,1,67,1
03112811,2015,1,1,61,
03112812,2015,1,1,61,
03112831,2015,1,1,45,1
03112832,2015,1,1,45,1
03112921,2015,1,1,44,2
03112922,2015,1,1,44,2
03112931,2015,1,1,39,1
03112932,2015,1,1,39,1
03112941,2015,1,1,36,1
03112942,2015,1,1,36,1
03112951,2015,1,1,37,1
03112952,2015,1,1,37,1
03113041,2015,1,1,47,1
03113042,2015,1,1,47,1
03113061,2015,1,1,70,
03113062,2015,1,1,70,
03113151,2015,1,1,52,1
03113152,2015,1,1,52,1
03113161,2015,1,1,87,
03113162,2015,1,1,87,
03113231,2015,1,1,51,1
03113232,2015,1,1,51,1
03113321,2015,1,1,71,
03113322,2015,1,1,71,
03113401,2015,1,1,65,2
03113402,2015,1,1,65,2
03113431,2015,1,1,30,1
03113432,2015,1,1,30,1
03113451,2015,1,1,53,2
03113452,2015,1,1,53,2
03113551,2015,1,1,55,1
03113552,2015,1,1,55,1
03113572,2015,1,1,76,
03113601,2015,1,1,42,1
03113602,2015,1,1,42,1
03113651,2015,1,1,51,2
03113652,2015,1,1,51,2
03113671,2015,1,1,34,1
03113672,2015,1,1,34,1
03113681,2015,1,1,33,1
03113682,2015,1,1,33,1
03113711,2015,1,1,48,1
03113712,2015,1,1,44,1
03113721,2015,1,1,81,
03113722,2015,1,1,81,
03113741,2015,1,1,46,1
03113742,2015,1,1,46,1
03113751,2015,1,1,65,
03113752,2015,1,1,65,
03113801,2015,1,1,53,1
03113802,2015,1,1,53,1
03113861,2015,1,1,32,1
03113862,2015,1,1,32,1
03113891,2015,1,1,53,1
03113892,2015,1,1,53,1
03113941,2015,1,1,42,1
03113942,2015,1,1,42,1
03114001,2015,1,1,50,1
03114002,2015,1,1,50,1
03114011,2015,1,1,63,2
03114012,2015,1,1,63,2
03114031,2015,1,1,36,1
03114032,2015,1,1,36,1
03114051,2015,1,1,61,1
03114052,2015,1,1,61,1
03114101,2015,1,1,37,1
03114131,2015,1,1,37,1
03114132,2015,1,1,37,1
03114141,2015,1,1,59,1
03114142,2015,1,1,59,1
03114161,2015,1,1,26,1
03114162,2015,1,1,26,1
03114191,2015,1,1,75,
03114291,2015,1,1,23,1
03114292,2015,1,1,23,1
03114342,2015,1,1,52,1
03114441,2015,1,1,50,1
03114442,2015,1,1,50,1
03114521,2015,1,1,73,
03114522,2015,1,1,73,
03114551,2015,1,1,60,1
03114551,2015,1,1,80,
03114552,2015,1,1,60,1
03114552,2015,1,1,80,
03114591,2015,1,1,26,1
03114592,2015,1,1,26,1
03114611,2015,1,1,34,1
03114612,2015,1,1,34,1
03114671,2015,1,1,43,1
03114672,2015,1,1,43,1
03114701,2015,1,1,29,1
03114702,2015,1,1,29,1
03114721,2015,1,1,68,
03114722,2015,1,1,68,
03114771,2015,1,1,39,1
03114772,2015,1,1,39,1
03114881,2015,1,1,68,
03114882,2015,1,1,68,
03114961,2015,1,1,53,1
03114962,2015,1,1,53,1
03114981,2015,1,1,59,1
03114982,2015,1,1,59,1
03115031,2015,1,1,43,1
03115032,2015,1,1,43,1
03115121,2015,1,1,76,
03115122,2015,1,1,76,
03115151,2015,1,1,27,1
03115152,2015,1,1,27,1
03115171,2015,1,1,66,
03115172,2015,1,1,66,
03115201,2015,1,1,72,
03115202,2015,1,1,72,
03115211,2015,1,1,62,1
03115212,2015,1,1,62,1
03115252,2015,1,1,54,2
03115281,2015,1,1,70,1
03115282,2015,1,1,70,1
03115292,2015,1,1,63,2
03115411,2015,1,1,68,2
03115412,2015,1,1,68,2
03115421,2015,1,1,56,1
03115422,2015,1,1,56,1
03115441,2015,1,1,50,1
03115442,2015,1,1,50,1
03115491,2015,1,1,42,1
03115492,2015,1,1,42,1
03115511,2015,1,1,79,
03115512,2015,1,1,79,
03115522,2015,1,1,72,
03115531,2015,1,1,33,1
03115532,2015,1,1,33,1
03115631,2015,1,1,57,2
03115632,2015,1,1,57,2
03115671,2015,1,1,30,1
03115672,2015,1,1,30,1
03115711,2015,1,1,33,1
03115712,2015,1,1,33,1
03115861,2015,1,1,47,1
03115862,2015,1,1,47,1
03115872,2015,1,1,44,1
03115891,2015,1,1,56,1
03115892,2015,1,1,56,1
03115911,2015,1,1,54,2
03115912,2015,1,1,54,2
03115921,2015,1,1,50,1
03115922,2015,1,1,50,1
03115942,2015,1,1,29,1
03115961,2015,1,1,63,1
03115971,2015,1,1,44,1
03115972,2015,1,1,44,1
03115991,2015,1,1,27,1
03115991,2015,1,1,29,
03115992,2015,1,1,27,1
03115992,2015,1,1,29,
03116001,2015,1,1,82,1
03116002,2015,1,1,82,1
03116031,2015,1,1,44,1
03116032,2015,1,1,44,1
03116051,2015,1,1,87,
03116052,2015,1,1,87,
03116071,2015,1,1,54,2
03116072,2015,1,1,54,2
03116081,2015,1,1,61,1
03116082,2015,1,1,61,1
03116151,2015,1,1,45,1
03116152,2015,1,1,45,1
03116161,2015,1,1,44,1
03116162,2015,1,1,44,1
03116171,2015,1,1,51,1
03116172,2015,1,1,51,1
03116191,2015,1,1,34,1
03116192,2015,1,1,34,1
03116201,2015,1,1,76,2
03116202,2015,1,1,76,2
03116211,2015,1,1,28,1
03116212,2015,1,1,28,1
03116221,2015,1,1,39,1
03116222,2015,1,1,39,1
03116231,2015,1,1,34,1
03116232,2015,1,1,34,1
03116261,2015,1,1,72,
03116262,2015,1,1,72,
03116291,2015,1,1,52,1
03116292,2015,1,1,52,1
03116301,2015,1,1,80,
03116302,2015,1,1,80,
03116321,2015,1,1,39,1
03116322,2015,1,1,39,1
03116351,2015,1,1,38,2
03116352,2015,1,1,38,2
03116401,2015,1,1,70,
03116402,2015,1,1,70,
03116421,2015,1,1,29,1
03116422,2015,1,1,29,1
03116591,2015,1,1,87,
03116592,2015,1,1,87,
03116611,2015,1,1,59,1
03116612,2015,1,1,59,1
03116631,2015,1,1,38,1
03116632,2015,1,1,38,1
03116681,2015,1,1,76,
03116682,2015,1,1,76,
03116691,2015,1,1,42,1
03116692,2015,1,1,42,1
03116781,2015,1,1,65,2
03116782,2015,1,1,65,2
03116811,2015,1,1,29,1
03116812,2015,1,1,29,1
03116822,2015,1,1,60,1
03116851,2015,1,1,73,
03116852,2015,1,1,73,
03116871,2015,1,1,87,
03116872,2015,1,1,87,
03116891,2015,1,1,54,
03116892,2015,1,1,54,
03116911,2015,1,1,31,1
03116912,2015,1,1,50,1
03116921,2015,1,1,68,
03116922,2015,1,1,68,
03116971,2015,1,1,75,
03116972,2015,1,1,75,
03117011,2015,1,1,49,2
03117012,2015,1,1,49,2
03117021,2015,1,1,72,
03117022,2015,1,1,72,
03117061,2015,1,1,53,1
03117062,2015,1,1,53,1
03117091,2015,1,1,40,1
03117092,2015,1,1,40,1
03117101,2015,1,1,30,1
03117102,2015,1,1,30,1
03117131,2015,1,1,50,
03117132,2015,1,1,50,
03117141,2015,1,1,43,1
03117142,2015,1,1,43,1
03117321,2015,1,1,58,
03117322,2015,1,1,58,
03117391,2015,1,1,43,1
03117392,2015,1,1,43,1
03117542,2015,1,1,48,1
03117571,2015,1,1,65,1
03117572,2015,1,1,65,1
03117581,2015,1,1,50,
03117591,2015,1,1,46,1
03117592,2015,1,1,46,1
03117621,2015,1,1,51,1
03117622,2015,1,1,51,1
03117681,2015,1,1,32,1
03117682,2015,1,1,32,1
03117691,2015,1,1,69,
03117692,2015,1,1,69,
03117731,2015,1,1,76,
03117732,2015,1,1,76,
03117751,2015,1,1,26,1
03117752,2015,1,1,26,1
03117771,2015,1,1,69,1
03117772,2015,1,1,69,1
03117801,2015,1,1,34,1
03117802,2015,1,1,34,1
03117821,2015,1,1,43,1
03117822,2015,1,1,43,1
03117871,2015,1,1,50,1
03117872,2015,1,1,50,1
03118031,2015,1,1,27,
03118032,2015,1,1,27,
03118081,2015,1,1,60,1
03118082,2015,1,1,60,1
03118161,2015,1,1,72,
03118162,2015,1,1,72,
03118192,2015,1,1,67,1
03118262,2015,1,1,35,1
03118271,2015,1,1,35,1
03118272,2015,1,1,35,1
03118301,2015,1,1,36,2
03118302,2015,1,1,36,2
03118341,2015,1,1,48,1
03118342,2015,1,1,48,1
03118381,2015,1,1,40,2
03118382,2015,1,1,40,2
03118421,2015,1,1,59,1
03118422,2015,1,1,59,1
03118481,2015,1,1,52,1
03118482,2015,1,1,52,1
03118491,2015,1,1,30,2
03118511,2015,1,1,87,
03118512,2015,1,1,87,
03118721,2015,1,1,57,2
