1883930,2487865
2907720,4390907
6316598,7751867
2441236,3665446
2705083333,1202259259
52440366,86606060
6555455,8049340
7188726,9871711
23316062,24725274
34863636,36773972
36277027,40067164
23703296,18865889
251895899,255932692
6353681,6808258
10132937,12421961
1979252,2610628
3027275,4691563
6600794,8152169
2499087,3173174
3246100000,1352541666
53924528,75210526
6417237,7818701
6817640,9593169
39823008,29220779
38350000,33767295
42952000,38905797
260525285,243819847
6238246,6515258
9951586,12291184
2052250,2429962
3071700,4693830
6764255,8133006
2442425,3561408
2318642857,1623050000
56594059,87938461
6671180,6288756
7158380,9621392
34615384,29032258
49256880,31769230
38350000,37809859
191489208,167402515
6043549,6621471
9983384,12294178
